type;temps;posLatLon;posPix;NOcorner;center;nivZoom
zoom;{"min":0,"sec":52,"mili":212};null;null;LatLng(55.866769, -4.288981);LatLng(55.865264, -4.286299);17
zoomend;{"min":0,"sec":52,"mili":212};null;null;LatLng(55.866769, -4.288981);LatLng(55.865264, -4.286299);17
moveend;{"min":0,"sec":52,"mili":212};null;null;LatLng(55.866769, -4.288981);LatLng(55.865264, -4.286299);null
zoomstart;{"min":0,"sec":52,"mili":323};null;null;LatLng(55.866769, -4.288981);LatLng(55.865264, -4.286299);17
movestart;{"min":0,"sec":52,"mili":323};null;null;LatLng(55.866769, -4.288981);LatLng(55.865264, -4.286299);null
zoom;{"min":0,"sec":52,"mili":557};null;null;LatLng(55.866122, -4.287608);LatLng(55.865369, -4.286267);18
zoomend;{"min":0,"sec":52,"mili":557};null;null;LatLng(55.866122, -4.287608);LatLng(55.865369, -4.286267);18
moveend;{"min":0,"sec":52,"mili":557};null;null;LatLng(55.866122, -4.287608);LatLng(55.865369, -4.286267);null
movestart;{"min":0,"sec":52,"mili":776};null;null;LatLng(55.866122, -4.287608);LatLng(55.865369, -4.286267);null
dragstart;{"min":0,"sec":52,"mili":776};null;null;LatLng(55.866122, -4.287608);LatLng(55.865369, -4.286267);null
dragend;{"min":0,"sec":53,"mili":104};null;null;LatLng(55.866465, -4.287339);LatLng(55.865713, -4.285998);null
moveend;{"min":0,"sec":53,"mili":104};null;null;LatLng(55.866465, -4.287339);LatLng(55.865713, -4.285998);null
movestart;{"min":0,"sec":56,"mili":615};null;null;LatLng(55.866465, -4.287339);LatLng(55.865713, -4.285998);null
dragstart;{"min":0,"sec":56,"mili":615};null;null;LatLng(55.866465, -4.287339);LatLng(55.865713, -4.285998);null
dragend;{"min":0,"sec":56,"mili":944};null;null;LatLng(55.866694, -4.287232);LatLng(55.865941, -4.285891);null
moveend;{"min":0,"sec":56,"mili":944};null;null;LatLng(55.866694, -4.287232);LatLng(55.865941, -4.285891);null
zoomstart;{"min":0,"sec":57,"mili":276};null;null;LatLng(55.866694, -4.287232);LatLng(55.865941, -4.285891);18
movestart;{"min":0,"sec":57,"mili":276};null;null;LatLng(55.866694, -4.287232);LatLng(55.865941, -4.285891);null
zoom;{"min":0,"sec":57,"mili":496};null;null;LatLng(55.866369, -4.286508);LatLng(55.865993, -4.285837);19
zoomend;{"min":0,"sec":57,"mili":496};null;null;LatLng(55.866369, -4.286508);LatLng(55.865993, -4.285837);19
moveend;{"min":0,"sec":57,"mili":496};null;null;LatLng(55.866369, -4.286508);LatLng(55.865993, -4.285837);null
zoomstart;{"min":0,"sec":58,"mili":477};null;null;LatLng(55.866369, -4.286508);LatLng(55.865993, -4.285837);19
movestart;{"min":0,"sec":58,"mili":477};null;null;LatLng(55.866369, -4.286508);LatLng(55.865993, -4.285837);null
zoom;{"min":0,"sec":58,"mili":697};null;null;LatLng(55.866694, -4.287232);LatLng(55.865941, -4.285891);18
zoomend;{"min":0,"sec":58,"mili":697};null;null;LatLng(55.866694, -4.287232);LatLng(55.865941, -4.285891);18
moveend;{"min":0,"sec":58,"mili":697};null;null;LatLng(55.866694, -4.287232);LatLng(55.865941, -4.285891);null
zoomstart;{"min":0,"sec":59,"mili":28};null;null;LatLng(55.866694, -4.287232);LatLng(55.865941, -4.285891);18
movestart;{"min":0,"sec":59,"mili":28};null;null;LatLng(55.866694, -4.287232);LatLng(55.865941, -4.285891);null
zoom;{"min":0,"sec":59,"mili":245};null;null;LatLng(55.867347, -4.288681);LatLng(55.865842, -4.285998);17
zoomend;{"min":0,"sec":59,"mili":245};null;null;LatLng(55.867347, -4.288681);LatLng(55.865842, -4.285998);17
moveend;{"min":0,"sec":59,"mili":245};null;null;LatLng(55.867347, -4.288681);LatLng(55.865842, -4.285998);null
zoomstart;{"min":0,"sec":59,"mili":463};null;null;LatLng(55.867347, -4.288681);LatLng(55.865842, -4.285998);17
movestart;{"min":0,"sec":59,"mili":463};null;null;LatLng(55.867347, -4.288681);LatLng(55.865842, -4.285998);null
zoom;{"min":0,"sec":59,"mili":681};null;null;LatLng(55.868641, -4.291577);LatLng(55.865631, -4.286213);16
zoomend;{"min":0,"sec":59,"mili":681};null;null;LatLng(55.868641, -4.291577);LatLng(55.865631, -4.286213);16
moveend;{"min":0,"sec":59,"mili":681};null;null;LatLng(55.868641, -4.291577);LatLng(55.865631, -4.286213);null
zoomstart;{"min":1,"sec":0,"mili":222};null;null;LatLng(55.868641, -4.291577);LatLng(55.865631, -4.286213);16
movestart;{"min":1,"sec":0,"mili":222};null;null;LatLng(55.868641, -4.291577);LatLng(55.865631, -4.286213);null
zoom;{"min":1,"sec":0,"mili":553};null;null;LatLng(55.871242, -4.297371);LatLng(55.865222, -4.286642);15
zoomend;{"min":1,"sec":0,"mili":553};null;null;LatLng(55.871242, -4.297371);LatLng(55.865222, -4.286642);15
moveend;{"min":1,"sec":0,"mili":553};null;null;LatLng(55.871242, -4.297371);LatLng(55.865222, -4.286642);null
movestart;{"min":1,"sec":1,"mili":425};null;null;LatLng(55.871242, -4.297371);LatLng(55.865222, -4.286642);null
dragstart;{"min":1,"sec":1,"mili":425};null;null;LatLng(55.871242, -4.297371);LatLng(55.865222, -4.286642);null
dragend;{"min":1,"sec":1,"mili":646};null;null;LatLng(55.870808, -4.292822);LatLng(55.864788, -4.282093);null
moveend;{"min":1,"sec":1,"mili":646};null;null;LatLng(55.870808, -4.292822);LatLng(55.864788, -4.282093);null
zoomstart;{"min":1,"sec":2,"mili":83};null;null;LatLng(55.870808, -4.292822);LatLng(55.864788, -4.282093);15
movestart;{"min":1,"sec":2,"mili":83};null;null;LatLng(55.870808, -4.292822);LatLng(55.864788, -4.282093);null
zoom;{"min":1,"sec":2,"mili":307};null;null;LatLng(55.876226, -4.303808);LatLng(55.864186, -4.282351);14
zoomend;{"min":1,"sec":2,"mili":307};null;null;LatLng(55.876226, -4.303808);LatLng(55.864186, -4.282351);14
moveend;{"min":1,"sec":2,"mili":307};null;null;LatLng(55.876226, -4.303808);LatLng(55.864186, -4.282351);null
zoomstart;{"min":1,"sec":2,"mili":733};null;null;LatLng(55.876226, -4.303808);LatLng(55.864186, -4.282351);14
movestart;{"min":1,"sec":2,"mili":733};null;null;LatLng(55.876226, -4.303808);LatLng(55.864186, -4.282351);null
zoom;{"min":1,"sec":2,"mili":953};null;null;LatLng(55.886576, -4.32518);LatLng(55.862501, -4.282265);13
zoomend;{"min":1,"sec":2,"mili":953};null;null;LatLng(55.886576, -4.32518);LatLng(55.862501, -4.282265);13
moveend;{"min":1,"sec":2,"mili":953};null;null;LatLng(55.886576, -4.32518);LatLng(55.862501, -4.282265);null
movestart;{"min":1,"sec":3,"mili":395};null;null;LatLng(55.886576, -4.32518);LatLng(55.862501, -4.282265);null
dragstart;{"min":1,"sec":3,"mili":395};null;null;LatLng(55.886576, -4.32518);LatLng(55.862501, -4.282265);null
dragend;{"min":1,"sec":3,"mili":613};null;null;LatLng(55.885036, -4.31385);LatLng(55.860959, -4.270935);null
moveend;{"min":1,"sec":3,"mili":613};null;null;LatLng(55.885036, -4.31385);LatLng(55.860959, -4.270935);null
