type;temps;posLatLon;posPix;NOcorner;center;nivZoom
moveend;{"min":0,"sec":32,"mili":641};null;null;LatLng(55.880751, -4.287972);LatLng(55.874733, -4.277244);null
movestart;{"min":0,"sec":32,"mili":985};null;null;LatLng(55.880751, -4.287972);LatLng(55.874733, -4.277244);null
dragstart;{"min":0,"sec":32,"mili":985};null;null;LatLng(55.880751, -4.287972);LatLng(55.874733, -4.277244);null
dragend;{"min":0,"sec":33,"mili":315};null;null;LatLng(55.877261, -4.292693);LatLng(55.871242, -4.281964);null
moveend;{"min":0,"sec":33,"mili":437};null;null;LatLng(55.877237, -4.292693);LatLng(55.871218, -4.281964);null
movestart;{"min":0,"sec":33,"mili":881};null;null;LatLng(55.877237, -4.292693);LatLng(55.871218, -4.281964);null
dragstart;{"min":0,"sec":33,"mili":881};null;null;LatLng(55.877237, -4.292693);LatLng(55.871218, -4.281964);null
dragend;{"min":0,"sec":34,"mili":320};null;null;LatLng(55.875383, -4.29647);LatLng(55.869364, -4.285741);null
moveend;{"min":0,"sec":34,"mili":320};null;null;LatLng(55.875383, -4.29647);LatLng(55.869364, -4.285741);null
zoomstart;{"min":0,"sec":36,"mili":173};null;null;LatLng(55.875383, -4.29647);LatLng(55.869364, -4.285741);15
movestart;{"min":0,"sec":36,"mili":173};null;null;LatLng(55.875383, -4.29647);LatLng(55.869364, -4.285741);null
zoom;{"min":0,"sec":36,"mili":391};null;null;LatLng(55.871013, -4.291127);LatLng(55.868003, -4.285762);16
zoomend;{"min":0,"sec":36,"mili":391};null;null;LatLng(55.871013, -4.291127);LatLng(55.868003, -4.285762);16
moveend;{"min":0,"sec":36,"mili":391};null;null;LatLng(55.871013, -4.291127);LatLng(55.868003, -4.285762);null
zoomstart;{"min":0,"sec":39,"mili":245};null;null;LatLng(55.871013, -4.291127);LatLng(55.868003, -4.285762);16
movestart;{"min":0,"sec":39,"mili":245};null;null;LatLng(55.871013, -4.291127);LatLng(55.868003, -4.285762);null
zoom;{"min":0,"sec":39,"mili":467};null;null;LatLng(55.873987, -4.297628);LatLng(55.867967, -4.2869);15
zoomend;{"min":0,"sec":39,"mili":467};null;null;LatLng(55.873987, -4.297628);LatLng(55.867967, -4.2869);15
moveend;{"min":0,"sec":39,"mili":467};null;null;LatLng(55.873987, -4.297628);LatLng(55.867967, -4.2869);null
zoomstart;{"min":0,"sec":43,"mili":408};null;null;LatLng(55.873987, -4.297628);LatLng(55.867967, -4.2869);15
movestart;{"min":0,"sec":43,"mili":408};null;null;LatLng(55.873987, -4.297628);LatLng(55.867967, -4.2869);null
zoom;{"min":0,"sec":43,"mili":629};null;null;LatLng(55.870327, -4.292307);LatLng(55.867317, -4.286942);16
zoomend;{"min":0,"sec":43,"mili":629};null;null;LatLng(55.870327, -4.292307);LatLng(55.867317, -4.286942);16
moveend;{"min":0,"sec":43,"mili":629};null;null;LatLng(55.870327, -4.292307);LatLng(55.867317, -4.286942);null
